#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO71091.1           -            473 6482at5820           -            498   3.3e-29  100.3   6.0   2   2   1.3e-24   2.5e-22   77.6   5.3   178   453   160   442   154   470 0.79 ATP-dependent RNA helicase UAP56, putative [Plasmodium vivax]
SCO72338.1           -            382 6482at5820           -            498   2.6e-28   97.4   0.6   1   1   1.8e-30   3.4e-28   97.0   0.6   180   453    80   354    72   369 0.83 ATP-dependent RNA helicase DDX6, putative [Plasmodium vivax]
SCO74462.1           -            791 6482at5820           -            498   1.8e-27   94.5  15.6   1   2   2.9e-18   5.4e-16   56.7   6.5   128   284   257   439   212   473 0.72 ATP-dependent RNA helicase MAK5, putative [Plasmodium vivax]
SCO74462.1           -            791 6482at5820           -            498   1.8e-27   94.5  15.6   2   2   4.5e-14   8.3e-12   42.9   1.7   331   463   552   691   545   715 0.76 ATP-dependent RNA helicase MAK5, putative [Plasmodium vivax]
SCO75658.1           -            850 6482at5820           -            498   2.3e-26   90.9  25.4   1   3   1.8e-22   3.3e-20   70.6   2.6   123   290   104   290    82   299 0.80 ATP-dependent RNA helicase DBP9, putative [Plasmodium vivax]
SCO75658.1           -            850 6482at5820           -            498   2.3e-26   90.9  25.4   2   3    0.0033      0.62    7.0   0.2   324   400   374   452   363   456 0.80 ATP-dependent RNA helicase DBP9, putative [Plasmodium vivax]
SCO75658.1           -            850 6482at5820           -            498   2.3e-26   90.9  25.4   3   3   4.9e-10   9.1e-08   29.6   0.1   405   452   516   562   511   580 0.87 ATP-dependent RNA helicase DBP9, putative [Plasmodium vivax]
SCO70895.1           -            850 6482at5820           -            498   3.9e-26   90.2   1.4   1   3   8.4e-17   1.5e-14   51.9   0.1   119   277   145   321   136   336 0.79 ATP-dependent RNA helicase DBP7, putative [Plasmodium vivax]
SCO70895.1           -            850 6482at5820           -            498   3.9e-26   90.2   1.4   2   3       1.7   3.2e+02   -1.9   0.0   277   304   368   395   366   400 0.77 ATP-dependent RNA helicase DBP7, putative [Plasmodium vivax]
SCO70895.1           -            850 6482at5820           -            498   3.9e-26   90.2   1.4   3   3   5.1e-12   9.4e-10   36.1   0.0   367   457   604   696   592   708 0.86 ATP-dependent RNA helicase DBP7, putative [Plasmodium vivax]
SCO73134.1           -            816 6482at5820           -            498   1.9e-21   74.7  25.2   1   3     1e-05    0.0019   15.3   0.1   130   171    21    62    11    71 0.84 DEAD/DEAH box ATP-dependent RNA helicase, putative [Plasmodium vivax]
SCO73134.1           -            816 6482at5820           -            498   1.9e-21   74.7  25.2   2   3     2e-08   3.7e-06   24.3  16.6   176   356   328   517   321   588 0.71 DEAD/DEAH box ATP-dependent RNA helicase, putative [Plasmodium vivax]
SCO73134.1           -            816 6482at5820           -            498   1.9e-21   74.7  25.2   3   3   6.5e-13   1.2e-10   39.1   0.3   366   440   602   677   581   686 0.87 DEAD/DEAH box ATP-dependent RNA helicase, putative [Plasmodium vivax]
SCO74881.1           -            877 6482at5820           -            498   4.6e-21   73.4  28.2   1   1   2.5e-23   4.6e-21   73.4  28.2   105   471   128   510   112   530 0.74 ATP-dependent RNA helicase DBP4, putative [Plasmodium vivax]
SCO72559.1           -           1329 6482at5820           -            498   4.1e-20   70.3   3.2   1   3    0.0038      0.69    6.9   0.0   113   173   144   204   129   221 0.76 DEAD/DEAH box helicase, putative [Plasmodium vivax]
SCO72559.1           -           1329 6482at5820           -            498   4.1e-20   70.3   3.2   2   3   0.00088      0.16    9.0   0.2   214   275   496   558   463   562 0.79 DEAD/DEAH box helicase, putative [Plasmodium vivax]
SCO72559.1           -           1329 6482at5820           -            498   4.1e-20   70.3   3.2   3   3     4e-17   7.4e-15   53.0   0.3   338   438   879   979   875   989 0.92 DEAD/DEAH box helicase, putative [Plasmodium vivax]
SCO70477.1           -           1250 6482at5820           -            498   6.6e-20   69.6  12.2   1   4   0.00031     0.057   10.5   0.0    88   168     4    84     1    98 0.89 RNA helicase, putative [Plasmodium vivax]
SCO70477.1           -           1250 6482at5820           -            498   6.6e-20   69.6  12.2   2   4      0.42        78    0.1   0.0   178   196   136   154   131   159 0.87 RNA helicase, putative [Plasmodium vivax]
SCO70477.1           -           1250 6482at5820           -            498   6.6e-20   69.6  12.2   3   4      0.01       1.9    5.5   0.2   249   296   290   338   274   350 0.77 RNA helicase, putative [Plasmodium vivax]
SCO70477.1           -           1250 6482at5820           -            498   6.6e-20   69.6  12.2   4   4   1.9e-17   3.5e-15   54.1   5.0   330   447   588   704   562   716 0.80 RNA helicase, putative [Plasmodium vivax]
SCO74879.1           -            995 6482at5820           -            498   6.6e-18   63.0  34.3   1   4   5.9e-07   0.00011   19.4   0.2   135   176    72   113    60   119 0.88 ATP-dependent rRNA helicase SPB4, putative [Plasmodium vivax]
SCO74879.1           -            995 6482at5820           -            498   6.6e-18   63.0  34.3   2   4     0.018       3.3    4.7   0.2   176   198   239   261   234   292 0.71 ATP-dependent rRNA helicase SPB4, putative [Plasmodium vivax]
SCO74879.1           -            995 6482at5820           -            498   6.6e-18   63.0  34.3   3   4   9.3e-05     0.017   12.2   1.7   207   286   304   383   276   393 0.72 ATP-dependent rRNA helicase SPB4, putative [Plasmodium vivax]
SCO74879.1           -            995 6482at5820           -            498   6.6e-18   63.0  34.3   4   4     5e-15   9.3e-13   46.0   6.8   369   484   552   667   494   679 0.74 ATP-dependent rRNA helicase SPB4, putative [Plasmodium vivax]
SCO74598.1           -            869 6482at5820           -            498     2e-16   58.2  13.1   1   3   7.9e-06    0.0015   15.7   1.5   119   212   166   262   143   276 0.71 ATP-dependent RNA helicase, putative [Plasmodium vivax]
SCO74598.1           -            869 6482at5820           -            498     2e-16   58.2  13.1   2   3       5.9   1.1e+03   -3.7   0.1   237   260   403   426   396   445 0.66 ATP-dependent RNA helicase, putative [Plasmodium vivax]
SCO74598.1           -            869 6482at5820           -            498     2e-16   58.2  13.1   3   3   3.5e-16   6.5e-14   49.8   0.9   348   480   537   670   527   682 0.89 ATP-dependent RNA helicase, putative [Plasmodium vivax]
SCO73310.1           -            522 6482at5820           -            498   7.5e-16   56.2  16.0   1   1   1.4e-17   2.5e-15   54.5  15.7   237   444   237   455    89   480 0.71 ATP-dependent helicase, putative [Plasmodium vivax]
SCO70772.1           -            548 6482at5820           -            498   3.3e-12   44.2  25.3   1   1   2.5e-14   4.6e-12   43.8  24.7   107   458    84   483    68   514 0.67 ATP-dependent RNA helicase protein, putative [Plasmodium vivax]
SCO74783.1           -           1269 6482at5820           -            498   3.4e-10   37.6   3.2   1   1   1.2e-11   2.3e-09   34.9   3.2   119   460    34   396    15   402 0.72 ADP-dependent DNA helicase RecQ, putative [Plasmodium vivax]
SCO70655.1           -           1393 6482at5820           -            498   6.6e-10   36.6   4.9   1   3      0.96   1.8e+02   -1.1   0.0   181   206   776   801   769   812 0.84 ATP-dependent RNA helicase, putative [Plasmodium vivax]
SCO70655.1           -           1393 6482at5820           -            498   6.6e-10   36.6   4.9   2   3    0.0021      0.39    7.7   0.0   214   258   899   943   897   947 0.87 ATP-dependent RNA helicase, putative [Plasmodium vivax]
SCO70655.1           -           1393 6482at5820           -            498   6.6e-10   36.6   4.9   3   3     2e-08   3.6e-06   24.3   4.5   342   451  1143  1268  1125  1297 0.63 ATP-dependent RNA helicase, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6482at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6482at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6482at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:50:29 2026
# [ok]
