#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO68998.1           -            791 6482at5820           -            498   1.8e-27   94.5  15.6   2   2   4.5e-14     8e-12   42.9   1.7   331   463   552   691   545   715 0.76 ATP-dependent RNA helicase MAK5, putative [Plasmodium vivax]
SCO70166.1           -            850 6482at5820           -            498   2.2e-26   90.9  25.4   1   3   1.8e-22   3.2e-20   70.6   2.6   123   290   104   290    82   299 0.80 ATP-dependent RNA helicase DBP9, putative [Plasmodium vivax]
SCO70166.1           -            850 6482at5820           -            498   2.2e-26   90.9  25.4   2   3    0.0033       0.6    7.0   0.2   324   400   374   452   363   456 0.80 ATP-dependent RNA helicase DBP9, putative [Plasmodium vivax]
SCO70166.1           -            850 6482at5820           -            498   2.2e-26   90.9  25.4   3   3   4.9e-10   8.8e-08   29.6   0.1   405   452   516   562   511   580 0.87 ATP-dependent RNA helicase DBP9, putative [Plasmodium vivax]
SCO65404.1           -            850 6482at5820           -            498   5.9e-26   89.5   1.3   1   3   1.4e-16   2.4e-14   51.2   0.1   119   277   145   321   136   336 0.79 ATP-dependent RNA helicase DBP7, putative [Plasmodium vivax]
SCO65404.1           -            850 6482at5820           -            498   5.9e-26   89.5   1.3   2   3       1.7   3.1e+02   -1.9   0.0   277   304   368   395   366   400 0.77 ATP-dependent RNA helicase DBP7, putative [Plasmodium vivax]
SCO65404.1           -            850 6482at5820           -            498   5.9e-26   89.5   1.3   3   3   5.1e-12     9e-10   36.1   0.0   367   457   604   696   592   708 0.86 ATP-dependent RNA helicase DBP7, putative [Plasmodium vivax]
SCO67682.1           -            816 6482at5820           -            498   1.2e-21   75.4  24.5   1   3     1e-05    0.0018   15.3   0.1   130   171    21    62    11    71 0.84 DEAD/DEAH box ATP-dependent RNA helicase, putative [Plasmodium vivax]
SCO67682.1           -            816 6482at5820           -            498   1.2e-21   75.4  24.5   2   3   9.6e-09   1.7e-06   25.3  15.6   177   356   329   517   322   591 0.70 DEAD/DEAH box ATP-dependent RNA helicase, putative [Plasmodium vivax]
SCO67682.1           -            816 6482at5820           -            498   1.2e-21   75.4  24.5   3   3     7e-13   1.2e-10   39.0   0.3   366   440   602   677   581   687 0.87 DEAD/DEAH box ATP-dependent RNA helicase, putative [Plasmodium vivax]
